step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,errorOrig,errorDest,balanceOrigChange,balanceDestChange
8,3,4622.68,11130.0,6507.32,0.0,0.0,0,0,0.0,-4622.68,-4622.68,0.0
8,3,7341.63,6507.32,0.0,0.0,0.0,0,0,-834.3100000000004,-7341.63,-6507.32,0.0
8,3,7115.1,70028.59,62913.49,0.0,0.0,0,0,-1.818989403545856e-12,-7115.1,-7115.099999999999,0.0
8,1,276861.31,62913.49,0.0,868119.25,1295505.56,0,0,-213947.82,150525.0000000001,-62913.49,427386.3100000001
8,1,173974.32,0.0,0.0,671186.52,1088598.75,0,0,-173974.32,243437.91,0.0,417412.23
8,1,235233.09,0.0,0.0,14048634.13,15197761.94,0,0,-235233.09,913894.7199999987,0.0,1149127.809999999
8,1,165917.0,0.0,0.0,190062.95,355979.95,0,0,-165917.0,0.0,0.0,165917.0
8,1,401760.34,0.0,0.0,1132227.39,1614944.4,0,0,-401760.34,80956.66999999998,0.0,482717.01
8,1,174778.79,0.0,0.0,300613.0,974665.18,0,0,-174778.79,499273.39,0.0,674052.18
8,1,144195.78,0.0,0.0,8398562.84,9257902.53,0,0,-144195.78,715143.9099999995,0.0,859339.6899999995
8,1,423512.16,0.0,0.0,2478437.81,3172857.18,0,0,-423512.16,270907.2100000001,0.0,694419.3700000001
8,1,436713.06,0.0,0.0,4336721.33,6537120.37,0,0,-436713.06,1763685.98,0.0,2200399.04
8,1,12014.2,0.0,0.0,805294.76,1210337.54,0,0,-12014.2,393028.58,0.0,405042.78
8,1,178008.49,0.0,0.0,963714.25,1342251.58,0,0,-178008.49,200528.8400000001,0.0,378537.3300000001
8,1,33160.1,0.0,0.0,335656.26,276428.08,0,0,-33160.1,-92388.28,0.0,-59228.17999999999
8,1,67832.83,0.0,0.0,91387.0,58903.51,0,0,-67832.83,-100316.32,0.0,-32483.49
8,1,121451.71,0.0,0.0,141480.82,0.0,0,0,-121451.71,-262932.53,0.0,-141480.82
8,1,33972.39,0.0,0.0,2979273.3,3071588.22,0,0,-33972.39,58342.53000000039,0.0,92314.92000000039
8,1,334118.38,0.0,0.0,358172.0,839844.48,0,0,-334118.38,147554.1,0.0,481672.48
8,1,131460.13,0.0,0.0,332709.92,573844.04,0,0,-131460.13,109673.99,0.0,241134.1200000001
8,1,39854.04,0.0,0.0,50124.0,1278582.43,0,0,-39854.04,1188604.39,0.0,1228458.43
8,1,9094.1,0.0,0.0,124662.0,133756.1,0,0,-9094.1,5.456968210637569e-12,0.0,9094.100000000006
8,1,68359.35,0.0,0.0,1022475.48,1377177.2,0,0,-68359.35,286342.37,0.0,354701.72
8,1,131233.1,0.0,0.0,282742.76,1098236.3,0,0,-131233.1,684260.4400000001,0.0,815493.54
8,1,32038.29,0.0,0.0,94314.25,126352.54,0,0,-32038.29,-7.275957614183426e-12,0.0,32038.28999999999
8,1,68276.71,0.0,0.0,132193.0,0.0,0,0,-68276.71,-200469.71,0.0,-132193.0
8,3,5111.31,9910.0,4798.69,0.0,0.0,0,0,0.0,-5111.31,-5111.31,0.0
8,4,1753600.94,30916.0,0.0,428.0,2540957.16,0,0,-1722684.94,786928.2200000002,-30916.0,2540529.16
8,0,147546.26,2841.0,150387.26,419035.1,426729.35,0,0,-295092.52,-139852.01,147546.26,7694.25
8,3,5010.58,1180.0,0.0,0.0,0.0,0,0,-3830.58,-5010.58,-1180.0,0.0
8,3,6101.96,176.0,0.0,0.0,0.0,0,0,-5925.96,-6101.96,-176.0,0.0
8,0,5834.0,59827.0,65661.0,8297.0,2463.0,0,0,-11668.0,-11668.0,5834.0,-5834.0
8,3,1416.4,1007.0,0.0,0.0,0.0,0,0,-409.4000000000001,-1416.4,-1007.0,0.0
8,3,2304.18,0.0,0.0,0.0,0.0,0,0,-2304.18,-2304.18,0.0,0.0
8,3,1544.76,35122.78,33578.02,0.0,0.0,0,0,2.046363078989089e-12,-1544.76,-1544.760000000002,0.0
8,1,72713.52,33578.02,0.0,238189.0,339321.35,0,0,-39135.50000000001,28418.82999999997,-33578.02,101132.35
8,3,4913.61,14976.0,10062.39,0.0,0.0,0,0,9.094947017729282e-13,-4913.61,-4913.610000000001,0.0
8,3,1237.01,79369.0,78131.99,0.0,0.0,0,0,-5.229594535194337e-12,-1237.01,-1237.009999999995,0.0
8,0,40243.63,46714.97,86958.6,1530956.05,1813503.62,0,0,-80487.26000000001,242303.9400000001,40243.63,282547.5700000001
8,3,9170.34,86958.6,77788.26,0.0,0.0,0,0,1.091393642127514e-11,-9170.34,-9170.340000000011,0.0
8,3,16543.75,9379.0,0.0,0.0,0.0,0,0,-7164.75,-16543.75,-9379.0,0.0
8,1,21425.6,4083.0,0.0,182.0,21607.6,0,0,-17342.6,0.0,-4083.0,21425.6
8,4,29707.86,29707.86,0.0,0.0,0.0,1,0,0.0,-29707.86,-29707.86,0.0
8,1,29707.86,29707.86,0.0,10935.0,0.0,1,0,0.0,-40642.86,-29707.86,-10935.0
8,1,55954.02,7695.38,0.0,260096.0,33750.43,0,0,-48258.64,-282299.59,-7695.38,-226345.57
8,4,1412588.3,0.0,0.0,1741771.65,4178800.4,0,0,-1412588.3,1024440.45,0.0,2437028.75
8,4,330568.23,0.0,0.0,1508861.76,2671632.43,0,0,-330568.23,832202.4400000002,0.0,1162770.67
